ID_Dünger;ID_DuengerArt;Bezeichnung;Duenger_lang;Einheit;Nges_PrzFM;NO3_N_PrzFM;NH4_N_PrzFM;Harnstoff_N_PrzFM;P_PrzFM;K_PrzFM;S_PrzFM;Mg_PrzFM;P2O5_PrzFM;K2O_PrzFM;CaCO3_PRZFM;THG_Faktor;Dichte_kg_je_l;Feldemission-N2O-Faktor;Feldemission-NO-Faktor;Feldemission-NH3-Faktor;Feldemission-organisch-NH3-Faktor;KEA_Biomasse;KEA_Fossil;KEA_Geothermal;KEA_Nuklear;KEA_Primaerwald;KEA_Sonne;KEA_Wasser;KEA_Wind;Summe KEA_Dünger [MJ/kg Dünger];ID_DuengerArt;ID_Frucht;Frucht;ID_Frucht;Fruchtart-Faktor N2O;Fruchtart-Faktor NO;Fruchtart-Faktor NH3
D73;2;NPK-Dünger 15-11-11;NPK-Dünger 15-11-11;kg/ha;15;;;0;4,796;9,13;0,05;0;10,9895544;11,00165;;1,376;1;0,0038;0,0061;-0,748;0;;10,124;;0,273;;;;;10,397;2;;;;;;
D74;2;NPK-Dünger 15-15-15;NPK-Dünger 15-15-15;kg/ha;15;5;10;0;6,54;12,45;0,05;0;14,985756;15,00225;;1,45;1;0,0038;0,0061;-0,748;0;;11,171;;0,337;;;;;11,509;2;;;;;;
D76;2;NPK-Dünger 15-17-17;NPK-Dünger 15-17-17;kg/ha;15;5;10;0;7,412;14,11;0,05;0;16,9838568;17,00255;;1,487;1;0,0038;0,0061;-0,748;0;;11,695;;0,37;;;;;12,065;2;;;;;;
D77;2;NPK-Dünger 15-6-20;NPK-Dünger 15-6-20;kg/ha;15;5;10;0;2,616;16,6;0,05;0;5,9943024;20,003;;1,377;1;0,0038;0,0061;-0,748;0;;10,196;;0,264;;;;;10,461;2;;;;;;
D78;2;NPK-Dünger 15-9-20;NPK-Dünger 15-9-20;kg/ha;15;5;10;0;3,924;16,6;0,05;0;8,9914536;20,003;;1,412;1;0,0038;0,0061;-0,748;0;;10,686;;0,297;;;;;10,983;2;;;;;;
D79;2;NPK-Dünger 16-15-15;NPK-Dünger 16-15-15;kg/ha;16;6;9;0;6,54;12,45;0,05;0;14,985756;15,00225;;1,528;1;0,0038;0,0061;-0,748;0;;11,654;;0,344;;;;;11,998;2;;;;;;
D80;2;NPK-Dünger 16-16-16;NPK-Dünger 16-16-16;kg/ha;16;6;9;0;6,976;13,28;0,05;0;15,9848064;16,0024;;1,546;1;0,0038;0,0061;-0,748;0;;11,916;;0,36;;;;;12,276;2;;;;;;
D81;2;NPK-Dünger 17-13-13;NPK-Dünger 17-13-13;kg/ha;17;5,78;11,22;0;5,668;10,79;0,05;0;12,9876552;13,00195;;1,569;1;0,0038;0,0061;-0,748;0;;11,614;;0,318;;;;;11,931;2;;;;;;
D82;2;NPK-Dünger 17-15-15;NPK-Dünger 17-15-15;kg/ha;17;5,78;11,22;0;6,54;12,45;0,05;0;14,985756;15,00225;;1,606;1;0,0038;0,0061;-0,748;0;;12,137;;0,35;;;;;12,487;2;;;;;;
D83;2;NPK-Dünger 17-17-17;NPK-Dünger 17-17-17;kg/ha;17;5,78;11,22;0;7,412;14,11;0,05;0;16,9838568;17,00255;;1,643;1;0,0038;0,0061;-0,748;0;;12,661;;0,382;;;;;13,043;2;;;;;;
D84;2;NPK-Dünger 19-3-5;NPK-Dünger 19-3-5;kg/ha;19;6,46;12,54;0;1,308;4,15;0,05;0;2,9971512;5,00075;;1,554;1;0,0038;0,0061;-0,748;0;;10,16;;0,179;;;;;10,338;2;;;;;;
D85;2;NPK-Dünger 19-7-7;NPK-Dünger 19-7-7;kg/ha;19;6,46;12,54;0;3,052;5,81;0,05;0;6,9933528;7,00105;;1,615;1;0,0038;0,0061;-0,748;0;;11,009;;0,233;;;;;11,242;2;;;;;;
D86;2;NPK-Dünger 22-8-8;NPK-Dünger 22-8-8;kg/ha;22;7,26;14,74;0;3,488;6,64;9;0;7,9924032;8,0012;;1,868;1;0,0038;0,0061;-0,748;0;;12,72;;0,268;;;;;12,988;2;;;;;;
D87;2;NPK-Dünger 24-13-13;NPK-Dünger 24-13-13;kg/ha;24;8;16;0;5,668;10,79;0,05;0;12,9876552;13,00195;;2,117;1;0,0038;0,0061;-0,748;0;;14,995;;0,362;;;;;15,357;2;;;;;;
D88;2;NPK-Dünger 27-10-10;NPK-Dünger 27-10-10;kg/ha;27;9;18;0;4,36;8,3;0,05;0;9,990504;10,0015;;2,296;1;0,0038;0,0061;-0,748;0;;15,659;;0,332;;;;;15,991;2;;;;;;
D89;2;NPK-Dünger 5-14-28;NPK-Dünger 5-14-28;kg/ha;5;1,7;3,3;0;6,104;23,24;0,05;0;13,9867056;28,0042;;0,743;1;0,0038;0,0061;-0,748;0;;7,46;;0,331;;;;;7,791;2;;;;;;
D90;2;NPK-Dünger 5-16-35;NPK-Dünger 5-16-35;kg/ha;5;1,7;3,3;0;6,976;29,05;0,05;0;15,9848064;35,00525;;0,813;1;0,0038;0,0061;-0,748;0;;8,477;;0,389;;;;;8,866;2;;;;;;
D91;2;NPK-Dünger 5-20-30;NPK-Dünger 5-20-30;kg/ha;5;1,7;3,3;0;8,72;24,9;0,05;0;19,981008;30,0045;;0,827;1;0,0038;0,0061;-0,748;0;;8,636;;0,407;;;;;9,044;2;;;;;;
D92;2;NPK-Dünger 6-12-18;NPK-Dünger 6-12-18;kg/ha;6;2;4;0;5,232;14,94;0,05;0;11,9886048;18,0027;;0,731;1;0,0038;0,0061;-0,748;0;;6,631;;0,263;;;;;6,894;2;;;;;;
D93;2;NPK-Dünger 6-20-30;NPK-Dünger 6-20-30;kg/ha;6;2;4;0;8,72;24,9;0,05;0;19,981008;30,0045;;0,905;1;0,0038;0,0061;-0,748;0;;9,119;;0,414;;;;;9,533;2;;;;;;
D148;2;Nutribor;Nutribor;kg/ha;6;;;;0;0;9;3,01517;0;0;;0,469;1;0,0038;0,0061;-0,748;0;;2,898;;0,038;;;;;2,936;2;;;;;;
D120;2;P 40;P 40;kg/ha;0;0;0;0;17,44;0;0;0;39,962016;0;;0,472;1;0;0;0;0;;6,526;;0,44;;;;;6,965;2;;;;;;
D28;2;Patentkali;Patentkali;kg/ha;0;0;0;0;0;24,9;18;6,03;0;30,0045;;0,289;1,28;0;0;0;0;0,364;7,463;0,011;0,454;0;0;0,159;0,015;8,466;2;;;;;;
D40;2;Piamon;"Ammonsulfat-Harnstoff, ""Piamon""";kg/ha;33;0;10;23;0;0;12;0;0;0;;1,028;1;0,0038;0,0061;0,429;0;2,795;17,237;0,202;0,717;0,001;2,686;0,315;0,186;24,139;2;;;;;;
D52;2;Piasan 24 S;Stickstoffdüngerlösung mit Schwefel, ;l/ha;24;5;8;11;0;0;3;0;0;0;;0,463;1,28;0,0038;0,0061;0;0;6,445;2,145;0,455;0,011;0,002;6,444;0,392;0,39;16,284;2;;;;;;
D211;2;PK 12-19-5-4;PK-12-19-5-4;kg/ha;0;0;0;0;5,2368;15,7738;4;3,016;11,99960352;19,007429;;0,268;1;0;0;0;0;;3,91;;0,248;;;;;4,158;2;;;;;;
D124;2;PK 14-22;PK 14-22;kg/ha;0;0;0;0;6,104;18,26;0,05;0;13,9867056;22,0033;;0,312;1;0;0;0;0;;4,454;;0,268;;;;;4,722;2;;;;;;
